#,Keyword,Basic,Senior,Hard,Outside,Question,,,,,,,,,,,,,,,,,,,
1,Agile,X,,,,X,,,,,,,,,,,,,,,,,,,
2,Bug leakage,X,X,,X,,,,,,,,,,,,,,,,,,,,
3,Conflict resolution,X,X,,X,,,,,,,,,,,,,,,,,,,,
4,Cross-functional team,X,X,,,X,,,,,,,,,,,,,,,,,,,
5,Customer journey mapping,,X,X,X,,,,,,,,,,,,,,,,,,,,
6,Data-driven QA,,X,X,X,,,,,,,,,,,,,,,,,,,,
7,Functional testing,X,,X,X,,,,,,,,,,,,,,,,,,,,
8,KPI,,X,,X,,,,,,,,,,,,,,,,,,,,
9,Mentorship,,X,,,X,,,,,,,,,,,,,,,,,,,
10,OKR,,X,,X,,,,,,,,,,,,,,,,,,,,
11,Presales,,X,,,X,,,,,,,,,,,,,,,,,,,
12,Proof of Concept (PoC),,X,X,X,,,,,,,,,,,,,,,,,,,,
13,Quality audit,X,X,,X,,,,,,,,,,,,,,,,,,,,
14,Risk management,X,X,,X,,,,,,,,,,,,,,,,,,,,
15,Scrum,X,,,,X,,,,,,,,,,,,,,,,,,,
16,Stakeholder management,,X,,X,,,,,,,,,,,,,,,,,,,,
17,Test case,X,,,X,,,,,,,,,,,,,,,,,,,,
18,Traceability matrix,,X,X,X,,,,,,,,,,,,,,,,,,,,
19,Work breakdown structure,X,X,,X,,,,,,,,,,,,,,,,,,,,
20,Workstream,,X,X,X,,,,,,,,,,,,,,,,,,,,
21,Acceptance Criteria,X,,,,X,,,,,,,,,,,,,,,,,,,
22,Ad hoc Testing,X,,,X,,,,,,,,,,,,,,,,,,,,
23,Automation Framework,,X,X,X,,,,,,,,,,,,,,,,,,,,
24,Backlog Grooming,X,X,,X,,,,,,,,,,,,,,,,,,,,
25,Burn-down Chart,,,,,,,,,,,,,,,,,,,,,,,,
26,Change Management,X,X,,X,,,,,,,,,,,,,,,,,,,,
27,Continuous Integration,,X,X,X,,,,,,,,,,,,,,,,,,,,
28,Defect Density,,X,X,X,,,,,,,,,,,,,,,,,,,,
29,Escalation Matrix,X,X,,X,,,,,,,,,,,,,,,,,,,,
30,Functional Specification,X,,,X,,,,,,,,,,,,,,,,,,,,
31,Impact Analysis,X,X,,X,,,,,,,,,,,,,,,,,,,,
32,Iteration Planning,X,,,X,,,,,,,,,,,,,,,,,,,,
33,Kanban,X,,,,X,,,,,,,,,,,,,,,,,,,
34,Load Testing,X,,,X,,,,,,,,,,,,,,,,,,,,
35,MoSCoW Prioritization,,X,X,X,,,,,,,,,,,,,,,,,,,,
36,Non-Functional Requirements,X,X,,X,,,,,,,,,,,,,,,,,,,,
37,Regression Testing,,,,X,,,,,,,,,,,,,,,,,,,,
38,Scope Creep,X,X,,X,,,,,,,,,,,,,,,,,,,,
39,Sprint Review,X,,,,X,,,,,,,,,,,,,,,,,,,
40,Sprint Retrospective,X,,,,X,,,,,,,,,,,,,,,,,,,
41,Stakeholder Engagement,X,X,,X,,,,,,,,,,,,,,,,,,,,
42,Status Report,X,,,X,,,,,,,,,,,,,,,,,,,,
43,Story Point,X,,,,X,,,,,,,,,,,,,,,,,,,
44,Technical Debt,X,X,,,X,,,,,,,,,,,,,,,,,,,
45,Test Coverage,X,X,,X,,,,,,,,,,,,,,,,,,,,
46,Test Plan,X,,,X,,,,,,,,,,,,,,,,,,,,
47,Timeboxing,X,,,,X,,,,,,,,,,,,,,,,,,,
48,Unit Testing,X,,,,X,,,,,,,,,,,,,,,,,,,
49,User Acceptance Testing,X,X,,X,,,,,,,,,,,,,,,,,,,,
50,User Story,X,,,,X,,,,,,,,,,,,,,,,,,,
51,Scrum Team: Velocity,X,,,,X,,,,,,,,,,,,,,,,,,,
52,Waterfall,X,,,,X,,,,,,,,,,,,,,,,,,,
53,Wireframe,,X,,X,,,,,,,,,,,,,,,,,,,,
54,CI/CD Pipeline,,X,X,X,,,,,,,,,,,,,,,,,,,,
55,Cost-Benefit Analysis,,X,X,X,,,,,,,,,,,,,,,,,,,,
56,Delivery Roadmap,,X,,X,,,,,,,,,,,,,,,,,,,,
57,Escaped Defects,,X,X,X,,,,,,,,,,,,,,,,,,,,
58,Go-to-Market Strategy,,X,X,X,,,,,,,,,,,,,,,,,,,,
59,Incident Management,X,X,,X,,,,,,,,,,,,,,,,,,,,
60,Scrum theory,X,X,X,,,,,,,,,,,,,,,,,,,,,
61,Flowchart,,X,,,,,,,,,,,,,,,,,,,,,,
62,Business Process Model and Notation (BPMN),,,,,,,,,,,,,,,,,,,,,,,,
63,BPMN Gateway,,,,,,,,,,,,,,,,,,,,,,,,
64,Exclusive Gateway,,,,,,,,,,,,,,,,,,,,,,,,
65,Parallel Gateway,,,,,,,,,,,,,,,,,,,,,,,,
66,Inclusive Gateway,,,,,,,,,,,,,,,,,,,,,,,,
67,Event-based Gateway,,,,,,,,,,,,,,,,,,,,,,,,
68,Complete Gateway,,,,,,,,,,,,,,,,,,,,,,,,
69,BPMN Task,,,,,,,,,,,,,,,,,,,,,,,,
70,Manual Task,,,,,,,,,,,,,,,,,,,,,,,,
